时间戳,冷量需求(kW),运行机组,负载率(%),供水温度(°C),机组能耗(kW),COP,水泵_A,冷却塔_A,水泵能耗_A(kW),冷却塔能耗_A(kW),水泵_B,冷却塔_B,水泵频频率,冷却塔转速,水泵能耗_B(kW),冷却塔能耗_B(kW),冷量预测(kW)
4/17/2025 11:15,865.4,[3],['98.9'],['10.1'],['122.55'],['7.10'],[],[],[],[],"[1, 2]",[1],"['31.8', '31.8']",['50.0'],"['4.7', '4.7']",['13.3'],1042.9174
4/17/2025 11:30,851,[3],['96.7'],['10.2'],['121.97'],['6.98'],[],[],[],[],"[1, 2]",[1],"['29.9', '29.9']",['50.0'],"['4.2', '4.2']",['13.3'],1031.312
4/17/2025 11:45,872.7,[3],['99.5'],['10.1'],['122.55'],['7.15'],[],[],[],[],"[1, 2]",[1],"['32.9', '32.9']",['50.0'],"['5.0', '5.0']",['13.3'],1019.7066
4/17/2025 12:00,861.3,[3],['100.0'],['10.1'],['122.55'],['7.18'],[],[],[],[],"[1, 2]",[1],"['32.1', '32.1']",['50.0'],"['4.8', '4.8']",['13.3'],1045.0954
4/17/2025 12:15,864.6,[3],['98.7'],['10.2'],['121.68'],['7.14'],[],[],[],[],"[1, 2]",[1],"['31.0', '31.0']",['50.0'],"['4.5', '4.5']",['13.3'],1070.4842
4/17/2025 12:30,820.1,[3],['93.2'],['10.4'],['118.33'],['6.93'],[],[],[],[],"[1, 2]",[1],"['29.0', '29.0']",['50.0'],"['4.0', '4.0']",['13.3'],1095.873
4/17/2025 12:45,905,[1],['94.2'],['11.8'],['112.28'],['8.86'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1121.2618
4/17/2025 13:00,874.9,[1],['94.3'],['11.8'],['112.28'],['8.87'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1109.104025
4/17/2025 13:15,885.5,[1],['95.3'],['11.8'],['112.28'],['8.96'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1096.94625
4/17/2025 13:30,875.8,[1],['95.0'],['11.9'],['112.28'],['8.94'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1084.788475
4/17/2025 13:45,880.2,[1],['94.2'],['11.9'],['111.29'],['8.94'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1072.6307
4/17/2025 14:00,918.2,[1],['94.6'],['11.9'],['111.29'],['8.97'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1062.83445
4/17/2025 14:15,864,[1],['94.6'],['11.9'],['111.29'],['8.98'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1053.0382
4/17/2025 14:30,893.5,[1],['94.1'],['11.9'],['111.29'],['8.93'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1043.24195
4/17/2025 14:45,893,[1],['94.5'],['12.0'],['111.29'],['8.97'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1033.4457
4/17/2025 15:00,883.4,[1],['95.4'],['12.0'],['111.29'],['9.05'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1044.27885
4/17/2025 15:15,884.6,[1],['95.1'],['12.0'],['111.29'],['9.02'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1055.112
4/17/2025 15:30,906.4,[1],['95.5'],['12.0'],['111.29'],['9.06'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1065.94515
4/17/2025 15:45,893.6,[1],['94.5'],['12.1'],['111.29'],['8.97'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1076.7783
4/17/2025 16:00,868.9,[1],['95.0'],['12.1'],['111.29'],['9.01'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1039.664075
4/17/2025 16:15,830.7,[1],['94.3'],['12.1'],['111.17'],['8.96'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1002.54985
4/17/2025 16:30,846.6,[1],['94.9'],['12.1'],['111.17'],['9.01'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],965.435625
4/17/2025 16:45,829.1,[2],['79.6'],['12.6'],['90.78'],['9.26'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],928.3214
4/17/2025 17:00,830,[2],['78.6'],['12.7'],['92.78'],['8.95'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],909.7037875
4/17/2025 17:15,789.3,[2],['77.5'],['12.8'],['89.93'],['9.10'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],891.086175
4/17/2025 17:30,726.5,[2],['77.4'],['12.8'],['89.93'],['9.09'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],872.4685625
4/17/2025 17:45,702.2,[2],['77.3'],['12.8'],['89.93'],['9.08'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],853.85095
4/17/2025 18:00,666,[2],['77.5'],['12.9'],['89.93'],['9.10'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],810.2146125
4/17/2025 18:15,689.1,[2],['77.3'],['12.9'],['89.93'],['9.08'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],766.578275
4/17/2025 18:30,671.4,[2],['77.6'],['12.9'],['89.93'],['9.11'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],722.9419375
4/17/2025 18:45,675.7,[2],['77.5'],['12.9'],['89.93'],['9.10'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],679.3056
4/17/2025 19:00,648.6,[2],['77.3'],['12.9'],['89.93'],['9.07'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],662.9808
4/17/2025 19:15,690.8,[2],['77.6'],['13.0'],['89.93'],['9.12'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],646.656
4/17/2025 19:30,593.9,[2],['77.4'],['13.0'],['89.93'],['9.09'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],630.3312
4/17/2025 19:45,589.4,[2],['77.3'],['13.0'],['89.93'],['9.08'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],614.0064
4/17/2025 20:00,590.7,[2],['80.2'],['12.9'],['94.87'],['8.93'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],603.699525
4/17/2025 20:15,575.7,[2],['80.1'],['12.9'],['94.87'],['8.92'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],593.39265
4/17/2025 20:30,573.7,[2],['80.0'],['12.9'],['94.87'],['8.91'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],583.085775
4/17/2025 20:45,575.9,[2],['79.0'],['13.0'],['94.87'],['8.79'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],572.7789
4/17/2025 21:00,573.4,[2],['80.7'],['13.0'],['94.87'],['8.98'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],543.27942
4/17/2025 21:15,561.7,[2],['80.4'],['13.0'],['94.87'],['8.95'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],513.77994
4/17/2025 21:30,532.7,[2],['80.7'],['13.0'],['94.87'],['8.98'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],484.28046
4/17/2025 21:45,539.8,[2],['81.7'],['13.0'],['95.21'],['9.06'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],454.78098
4/17/2025 22:00,535,[3],['60.9'],['10.1'],['74.92'],['7.15'],[],[],[],[],"[1, 2]",[1],"['25.0', '25.0']",['32.1'],"['3.1', '3.1']",['5.7'],465.22486
4/17/2025 22:15,519.6,[3],['59.8'],['10.1'],['72.79'],['7.23'],[],[],[],[],"[1, 2]",[1],"['25.0', '25.0']",['31.7'],"['3.1', '3.1']",['5.5'],475.66874
4/17/2025 22:30,522.7,[3],['59.7'],['10.1'],['72.79'],['7.22'],[],[],[],[],"[1, 2]",[1],"['25.0', '25.0']",['31.1'],"['3.1', '3.1']",['5.4'],486.11262
4/17/2025 22:45,519,[3],['59.7'],['10.1'],['72.79'],['7.22'],[],[],[],[],"[1, 2]",[1],"['25.0', '25.0']",['31.6'],"['3.1', '3.1']",['5.5'],496.5565
4/17/2025 23:00,523.5,[3],['59.8'],['10.1'],['72.79'],['7.22'],[],[],[],[],"[1, 2]",[1],"['25.0', '25.0']",['31.6'],"['3.1', '3.1']",['5.5'],462.2209325
4/17/2025 23:15,524.8,[3],['59.8'],['10.1'],['72.79'],['7.23'],[],[],[],[],"[1, 2]",[1],"['25.0', '25.0']",['31.7'],"['3.1', '3.1']",['5.5'],427.885365
4/17/2025 23:30,520.2,[3],['59.8'],['10.1'],['72.79'],['7.23'],[],[],[],[],"[1, 2]",[1],"['25.0', '25.0']",['31.7'],"['3.1', '3.1']",['5.5'],393.5497975
4/17/2025 23:45,518.7,[3],['59.8'],['10.1'],['72.79'],['7.23'],[],[],[],[],"[1, 2]",[1],"['25.0', '25.0']",['31.7'],"['3.1', '3.1']",['5.5'],359.21423
4/18/2025 0:00,507.9,[3],['58.8'],['10.0'],['73.19'],['7.07'],[],[],[],[],"[1, 2]",[1],"['25.0', '25.0']",['31.3'],"['3.1', '3.1']",['5.4'],348.325765
4/18/2025 0:15,349.7,[3],['39.8'],['10.1'],['55.46'],['6.31'],[],[],[],[],[1],[1],['29.6'],['25.0'],['4.1'],['3.5'],337.4373
4/18/2025 0:30,338.5,[3],['38.9'],['10.1'],['53.75'],['6.37'],[],[],[],[],[1],[1],['27.5'],['25.0'],['3.6'],['3.5'],326.548835
4/18/2025 0:45,347.9,[3],['39.6'],['10.1'],['53.75'],['6.48'],[],[],[],[],[1],[1],['28.4'],['25.0'],['3.8'],['3.5'],315.66037
4/18/2025 1:00,361.2,[3],['41.5'],['10.0'],['57.94'],['6.31'],[],[],[],[],[1],[1],['29.9'],['25.0'],['4.2'],['3.5'],318.0272675
4/18/2025 1:15,387.7,[3],['44.7'],['10.1'],['59.18'],['6.65'],[],[],[],[],[1],[1],['33.1'],['25.0'],['5.0'],['3.5'],320.394165
4/18/2025 1:30,420.2,[3],['47.8'],['10.0'],['62.21'],['6.77'],[],[],[],[],[1],[1],['34.7'],['26.2'],['5.5'],['3.9'],322.7610625
4/18/2025 1:45,417.7,[3],['47.5'],['10.1'],['62.21'],['6.72'],[],[],[],[],[1],[1],['34.7'],['26.7'],['5.5'],['4.0'],325.12796
4/18/2025 2:00,415.8,[3],['47.4'],['10.0'],['65.29'],['6.39'],[],[],[],[],[1],[1],['34.8'],['26.7'],['5.5'],['4.0'],327.35694
4/18/2025 2:15,415.9,[3],['47.7'],['10.1'],['62.21'],['6.75'],[],[],[],[],[1],[1],['33.7'],['25.0'],['5.2'],['3.5'],329.58592
4/18/2025 2:30,449.5,[3],['51.2'],['10.0'],['65.16'],['6.91'],[],[],[],[],[1],[1],['35.6'],['27.2'],['5.7'],['4.1'],331.8149
4/18/2025 2:45,443.1,[3],['50.8'],['10.1'],['65.16'],['6.86'],[],[],[],[],[1],[1],['35.6'],['27.6'],['5.7'],['4.3'],334.04388
4/18/2025 3:00,441,[3],['50.9'],['10.0'],['65.16'],['6.88'],[],[],[],[],[1],[1],['35.6'],['28.2'],['5.7'],['4.4'],333.1061975
4/18/2025 3:15,449.1,[3],['51.1'],['10.0'],['65.16'],['6.91'],[],[],[],[],[1],[1],['35.7'],['27.7'],['5.7'],['4.3'],332.168515
4/18/2025 3:30,457.7,[3],['52.4'],['10.0'],['70.23'],['6.57'],[],[],[],[],[1],[1],['36.1'],['28.4'],['5.9'],['4.5'],331.2308325
4/18/2025 3:45,447.8,[3],['51.1'],['10.0'],['65.16'],['6.91'],[],[],[],[],[1],[1],['35.7'],['27.7'],['5.7'],['4.3'],330.29315
4/18/2025 4:00,456.8,[3],['53.0'],['10.0'],['70.23'],['6.64'],[],[],[],[],[1],[1],['36.2'],['28.5'],['5.9'],['4.5'],367.93395
4/18/2025 4:15,428.7,[3],['49.3'],['10.1'],['63.93'],['6.79'],[],[],[],[],[1],[1],['35.1'],['26.5'],['5.6'],['3.9'],405.57475
4/18/2025 4:30,431.1,[3],['49.5'],['10.1'],['63.93'],['6.81'],[],[],[],[],[1],[1],['35.3'],['27.6'],['5.6'],['4.3'],443.21555
4/18/2025 4:45,443.4,[3],['50.9'],['10.0'],['65.16'],['6.88'],[],[],[],[],[1],[1],['35.7'],['28.2'],['5.7'],['4.4'],480.85635
4/18/2025 5:00,443.1,[3],['51.1'],['10.0'],['65.16'],['6.90'],[],[],[],[],[1],[1],['35.7'],['28.8'],['5.8'],['4.6'],480.8502875
4/18/2025 5:15,458,[3],['52.9'],['10.0'],['67.15'],['6.94'],[],[],[],[],[1],[1],['35.9'],['25.7'],['5.8'],['3.7'],480.844225
4/18/2025 5:30,460,[3],['52.8'],['10.0'],['67.15'],['6.91'],[],[],[],[],[1],[1],['35.8'],['25.1'],['5.8'],['3.6'],480.8381625
4/18/2025 5:45,458.5,[3],['53.0'],['10.0'],['67.15'],['6.95'],[],[],[],[],[1],[1],['35.9'],['25.8'],['5.8'],['3.7'],480.8321
4/18/2025 6:00,458.7,[3],['53.0'],['10.0'],['67.15'],['6.95'],[],[],[],[],[1],[1],['35.9'],['25.2'],['5.8'],['3.6'],514.0095
4/18/2025 6:15,486.3,[3],['56.2'],['10.0'],['68.91'],['7.17'],[],[],[],[],[1],[1],['36.8'],['26.8'],['6.1'],['4.0'],547.1869
4/18/2025 6:30,481.7,[3],['56.3'],['10.0'],['68.91'],['7.19'],[],[],[],[],[1],[1],['36.7'],['26.3'],['6.1'],['3.9'],580.3643
4/18/2025 6:45,490.2,[3],['56.1'],['10.0'],['68.91'],['7.16'],[],[],[],[],[1],[1],['36.7'],['26.7'],['6.1'],['4.0'],613.5417
4/18/2025 7:00,489.6,[3],['56.0'],['10.0'],['68.91'],['7.15'],[],[],[],[],[1],[1],['36.8'],['27.8'],['6.1'],['4.3'],619.491115
4/18/2025 7:15,640.7,[3],['72.9'],['10.1'],['95.05'],['6.75'],[],[],[],[],[1],[1],['39.0'],['45.3'],['6.7'],['11.0'],625.44053
4/18/2025 7:30,715,[3],['81.3'],['10.1'],['103.39'],['6.92'],[],[],[],[],[1],[1],['41.9'],['50.0'],['7.7'],['13.3'],631.389945
4/18/2025 7:45,808.9,[3],['91.9'],['10.2'],['118.57'],['6.82'],[],[],[],[],[1],[1],['48.0'],['50.0'],['9.8'],['13.3'],637.33936
4/18/2025 8:00,834.4,[3],['95.2'],['10.2'],['121.42'],['6.90'],[],[],[],[],"[1, 2]",[1],"['28.7', '28.7']",['50.0'],"['3.9', '9.4']",['13.3'],663.84273
4/18/2025 8:15,849.1,[3],['96.5'],['10.2'],['122.00'],['6.96'],[],[],[],[],"[1, 2]",[1],"['25.2', '26.3']",['47.9'],"['3.1', '3.3']",['12.3'],690.3461
4/18/2025 8:30,867.6,[3],['98.7'],['10.2'],['122.88'],['7.07'],[],[],[],[],"[1, 2]",[1],"['25.8', '25.7']",['49.0'],"['3.2', '3.2']",['12.8'],716.84947
4/18/2025 8:45,848.9,[3],['96.5'],['10.3'],['121.81'],['6.97'],[],[],[],[],"[1, 2]",[1],"['25.5', '25.5']",['49.3'],"['3.2', '3.2']",['13.0'],743.35284
4/18/2025 9:00,897.1,[1],['95.5'],['12.8'],['110.90'],['9.09'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],768.479755
4/18/2025 9:15,902.4,[1],['95.3'],['12.8'],['110.90'],['9.07'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],793.60667
4/18/2025 9:30,875.5,[1],['94.9'],['12.9'],['110.90'],['9.03'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],818.733585
4/18/2025 9:45,865.4,[1],['94.4'],['12.9'],['110.90'],['8.99'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],843.8605
4/18/2025 10:00,828.8,[1],['94.7'],['12.9'],['110.90'],['9.02'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],876.826775
4/18/2025 10:15,866.5,[1],['94.9'],['12.9'],['110.90'],['9.04'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],909.79305
4/18/2025 10:30,892.3,[1],['94.9'],['12.9'],['110.90'],['9.04'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],942.759325
4/18/2025 10:45,888.6,[1],['95.1'],['13.0'],['110.90'],['9.05'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],975.7256
4/18/2025 11:00,890.5,[1],['94.0'],['13.0'],['110.90'],['8.95'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],969.180125
4/18/2025 11:15,897.9,[1],['95.1'],['13.0'],['110.90'],['9.06'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],962.63465
4/18/2025 11:30,882.8,[1],['95.1'],['13.0'],['110.90'],['9.05'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],956.089175
4/18/2025 11:45,878.5,[1],['94.5'],['13.0'],['110.90'],['9.00'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],949.5437
4/18/2025 12:00,887.9,[1],['94.9'],['13.0'],['110.90'],['9.04'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],964.796425
4/18/2025 12:15,878.2,[1],['95.5'],['13.0'],['116.12'],['8.69'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],980.04915
4/18/2025 12:30,883.7,[1],['95.9'],['13.0'],['116.12'],['8.72'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],995.301875
4/18/2025 12:45,877.2,[1],['96.1'],['13.0'],['116.12'],['8.74'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1010.5546
4/18/2025 13:00,870.8,[1],['96.1'],['13.0'],['116.12'],['8.74'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1011.896925
4/18/2025 13:15,870.4,[1],['95.8'],['13.0'],['116.12'],['8.71'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1013.23925
4/18/2025 13:30,915,[1],['96.3'],['13.0'],['116.12'],['8.76'],[1],[2],['15.0'],['10.6'],[],[],[],[],[],[],1014.581575
4/18/2025 13:45,1821.6,"[1, 3]","['94.6', '94.1']","['12.5', '8.5']","['172.69', '138.25']","['5.79', '5.99']",[1],[2],['15.0'],['10.6'],"[1, 2]",[1],"['25.9', '25.9']",['46.8'],"['3.3', '3.2']",['11.7'],1015.9239
4/18/2025 14:00,1525.8,"[1, 3]","['100.0', '53.5']","['12.4', '9.2']","['190.52', '75.39']","['5.54', '6.25']",[1],"[1, 2]",['15.0'],"['11.7', '10.6']","[1, 2]",[1],"['25.0', '25.0']",['25.0'],"['3.1', '3.1']",['3.5'],1015.04365
4/18/2025 14:15,1468.8,"[1, 3]","['100.0', '47.0']","['12.4', '9.3']","['189.65', '67.51']","['5.57', '6.13']",[1],[1],['15.0'],['10.6'],[2],[1],['29.7'],['25.0'],['4.1'],['3.5'],1014.1634
4/18/2025 14:30,1446.8,"[1, 3]","['100.0', '44.8']","['12.4', '9.4']","['189.65', '64.12']","['5.57', '6.15']",[1],[1],['15.0'],['10.6'],[2],[1],['29.2'],['25.0'],['4.0'],['3.5'],1013.28315
4/18/2025 14:45,1359.8,"[1, 3]","['100.0', '34.8']","['12.4', '9.8']","['186.65', '58.06']","['5.66', '5.28']",[1],[1],['15.0'],['10.6'],[2],[1],['25.0'],['25.0'],['3.1'],['3.5'],1012.4029
4/18/2025 15:00,1435.9,"[1, 3]","['100.0', '43.3']","['12.4', '9.4']","['187.91', '64.12']","['5.62', '5.95']",[1],[1],['15.0'],['10.6'],[2],[1],['27.5'],['25.0'],['3.6'],['3.5'],1033.162525
4/18/2025 15:15,1443.7,"[1, 3]","['100.0', '44.4']","['12.4', '9.3']","['187.91', '64.12']","['5.62', '6.09']",[1],[1],['15.0'],['10.6'],[2],[1],['29.1'],['25.0'],['4.0'],['3.5'],1053.92215
4/18/2025 15:30,1392.3,"[1, 3]","['100.0', '39.7']","['12.4', '9.5']","['186.65', '59.59']","['5.66', '5.86']",[1],[1],['15.0'],['10.6'],[2],[1],['25.8'],['25.0'],['3.2'],['3.5'],1074.681775
4/18/2025 15:45,1369.4,"[1, 3]","['96.0', '41.3']","['12.6', '9.4']","['177.80', '61.02']","['5.70', '5.96']",[1],[1],['15.0'],['10.6'],[2],[1],['26.8'],['25.0'],['3.5'],['3.5'],1095.4414
4/18/2025 16:00,1412.5,"[1, 3]","['100.0', '40.7']","['12.4', '9.4']","['186.65', '60.21']","['5.66', '5.95']",[1],[1],['15.0'],['10.6'],[2],[1],['26.8'],['25.0'],['3.5'],['3.5'],1069.30279
4/18/2025 16:15,1332.7,"[1, 3]","['96.2', '36.1']","['12.6', '9.4']","['177.80', '57.72']","['5.71', '5.50']",[1],[1],['15.0'],['10.6'],[2],[1],['25.6'],['25.0'],['3.2'],['3.5'],1043.16418
4/18/2025 16:30,1347.1,"[1, 3]","['95.5', '38.7']","['12.6', '9.4']","['177.80', '58.65']","['5.67', '5.80']",[1],[1],['15.0'],['10.6'],[2],[1],['26.8'],['25.0'],['3.4'],['3.5'],1017.02557
4/18/2025 16:45,1333.6,"[1, 3]","['96.2', '36.1']","['12.6', '9.5']","['177.80', '57.72']","['5.71', '5.51']",[1],[1],['15.0'],['10.6'],[2],[1],['25.2'],['25.0'],['3.1'],['3.5'],990.88696
4/18/2025 17:00,1285.7,"[1, 3]","['95.1', '32.4']","['12.6', '9.7']","['172.99', '55.96']","['5.81', '5.09']",[1],[1],['15.0'],['10.6'],[2],[1],['25.0'],['25.0'],['3.1'],['3.5'],959.41966
4/18/2025 17:15,1131.1,"[2, 3]","['82.7', '30.9']","['8.2', '9.5']","['147.51', '55.86']","['5.92', '4.87']",[1],[1],['15.0'],['10.6'],[2],[1],['25.0'],['25.0'],['3.1'],['3.5'],927.95236
4/18/2025 17:30,1064.2,"[2, 3]","['77.4', '28.3']","['8.3', '9.5']","['139.94', '52.94']","['5.84', '4.70']",[1],[1],['15.0'],['10.6'],[2],[1],['25.0'],['25.0'],['3.1'],['3.5'],896.48506
4/18/2025 17:45,1073.5,"[2, 3]","['74.8', '32.4']","['8.4', '9.4']","['138.85', '54.71']","['5.69', '5.20']",[1],[1],['15.0'],['10.6'],[2],[1],['25.0'],['25.0'],['3.1'],['3.5'],865.01776
4/18/2025 18:00,1099.7,"[2, 3]","['80.7', '28.2']","['8.2', '9.5']","['140.78', '52.86']","['6.05', '4.70']",[1],[1],['15.0'],['10.6'],[2],[1],['25.0'],['25.0'],['3.1'],['3.5'],829.356145
4/18/2025 18:15,1077.5,"[2, 3]","['79.6', '27.7']","['8.2', '9.5']","['140.78', '52.86']","['5.97', '4.62']",[1],[1],['15.0'],['10.6'],[2],[1],['25.0'],['25.0'],['3.1'],['3.5'],793.69453
4/18/2025 18:30,1061,"[2, 3]","['77.4', '27.8']","['8.3', '9.5']","['139.35', '52.86']","['5.86', '4.64']",[1],[1],['15.0'],['10.6'],[2],[1],['25.0'],['25.0'],['3.1'],['3.5'],758.032915
4/18/2025 18:45,1136,"[2, 3]","['82.4', '30.9']","['8.3', '9.5']","['147.97', '54.62']","['5.88', '4.98']",[1],[1],['15.0'],['10.6'],[2],[1],['25.0'],['25.0'],['3.1'],['3.5'],722.3713
4/18/2025 19:00,1100.8,"[2, 3]","['82.6', '27.2']","['8.2', '9.7']","['147.97', '52.86']","['5.90', '4.53']",[1],[1],['15.0'],['10.6'],[2],[1],['25.0'],['25.0'],['3.1'],['3.5'],706.5077075
4/18/2025 19:15,1082.7,"[2, 3]","['81.0', '27.8']","['8.3', '9.7']","['147.97', '51.99']","['5.78', '4.71']",[1],[1],['15.0'],['10.6'],[2],[1],['25.0'],['25.0'],['3.1'],['3.5'],690.644115
4/18/2025 19:30,985.5,[2],['94.2'],['8.1'],['154.12'],['6.46'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],674.7805225
4/18/2025 19:45,947.1,[2],['92.6'],['8.1'],['151.78'],['6.44'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],658.91693
4/18/2025 20:00,940.1,[2],['92.7'],['8.1'],['151.78'],['6.45'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],647.2640225
4/18/2025 20:15,930.7,[2],['88.4'],['8.2'],['151.58'],['6.16'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],635.611115
4/18/2025 20:30,924.3,[2],['87.7'],['8.2'],['149.76'],['6.19'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],623.9582075
4/18/2025 20:45,938.2,[2],['88.9'],['8.2'],['151.58'],['6.20'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],612.3053
4/18/2025 21:00,908,[2],['86.2'],['8.3'],['144.91'],['6.28'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],583.5635175
4/18/2025 21:15,923.8,[2],['87.5'],['8.2'],['149.76'],['6.17'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],554.821735
4/18/2025 21:30,919.2,[2],['87.1'],['8.2'],['146.18'],['6.30'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],526.0799525
4/18/2025 21:45,918.8,[2],['87.0'],['8.2'],['145.70'],['6.31'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],497.33817
4/18/2025 22:00,870.1,[2],['82.9'],['8.3'],['141.26'],['6.20'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],495.4751475
4/18/2025 22:15,901.4,[2],['86.2'],['8.2'],['144.43'],['6.31'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],493.612125
4/18/2025 22:30,884.4,[2],['83.8'],['8.3'],['142.55'],['6.21'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],491.7491025
4/18/2025 22:45,899,[2],['85.2'],['8.3'],['144.43'],['6.23'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],489.88608
4/18/2025 23:00,936.6,[2],['98.4'],['7.8'],['144.72'],['7.18'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],457.3600025
4/18/2025 23:15,874.5,[2],['82.9'],['8.3'],['141.26'],['6.20'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],424.833925
4/18/2025 23:30,904.6,[2],['86.3'],['8.2'],['144.43'],['6.31'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],392.3078475
4/18/2025 23:45,890.2,[2],['84.4'],['8.3'],['143.99'],['6.19'],[1],[1],['15.0'],['10.6'],[],[],[],[],[],[],359.78177
